iter	R2	RMSE
561	0.991217688	4435.866164
562	0.9912196705	4435.365477
563	0.9912251083	4433.991802
564	0.9912285132	4433.131456
565	0.9912294792	4432.887353
566	0.9912305118	4432.626384
567	0.9912317001	4432.326066
568	0.991233184	4431.950996
569	0.9912348341	4431.533889
570	0.9912368101	4431.034344
571	0.9912374684	4430.867889
572	0.9912400958	4430.203567
573	0.9912408275	4430.018537
574	0.9912419473	4429.735347
575	0.9912429724	4429.476113
576	0.9912475611	4428.315428
577	0.9912521082	4427.164961
578	0.9912565934	4426.029887
579	0.9912605559	4425.026839
580	0.9912610128	4424.911151
581	0.9912613589	4424.823539
582	0.9912621973	4424.611263
583	0.991264131	4424.121651
584	0.9912650807	4423.88117
585	0.9912660367	4423.639066
586	0.9912674613	4423.278286
587	0.9912678712	4423.174464
588	0.9912698729	4422.667476
589	0.9912723227	4422.046887
590	0.9912744988	4421.495573
591	0.9912801863	4420.054334
592	0.9912806547	4419.935595
593	0.9912830168	4419.33689
594	0.9912848497	4418.872233
595	0.9912856204	4418.676844
596	0.9912861056	4418.553837
597	0.9912869684	4418.335062
598	0.9912894948	4417.694469
599	0.9912913476	4417.224595
600	0.9912946064	4416.39804
601	0.9912950509	4416.285293
602	0.9912956479	4416.133851
603	0.9912968065	4415.839938
604	0.9912980918	4415.513859
605	0.9912986608	4415.369499
606	0.9913003676	4414.93643
607	0.99130161	4414.621174
608	0.9913029683	4414.276481
609	0.9913052501	4413.697351
610	0.9913070145	4413.249506
611	0.9913081702	4412.956131
612	0.9913091258	4412.713555
613	0.9913129856	4411.733537
614	0.9913145712	4411.33089
615	0.9913148477	4411.260673
616	0.9913180681	4410.442772
617	0.991319113	4410.177356
618	0.9913216212	4409.540181
619	0.9913261709	4408.384171
620	0.9913281064	4407.892299
621	0.9913302488	4407.347781
622	0.9913335065	4406.519648
623	0.9913350349	4406.13108
624	0.9913352875	4406.066858
625	0.9913370846	4405.6099
626	0.991338166	4405.334931
627	0.9913402474	4404.805593
628	0.9913411788	4404.56871
629	0.9913420482	4404.347577
630	0.9913431554	4404.06596
631	0.9913453617	4403.504699
632	0.9913458544	4403.37935
633	0.991347394	4402.987666
634	0.9913492665	4402.511207
635	0.9913508625	4402.105072
636	0.9913538984	4401.33242
637	0.9913554878	4400.927859
638	0.9913590633	4400.017618
639	0.9913600145	4399.775427
640	0.9913617039	4399.345255
641	0.9913663404	4398.164452
642	0.991368761	4397.547873
643	0.9913702982	4397.15624
644	0.9913703734	4397.137104
645	0.9913729202	4396.488199
646	0.9913757384	4395.770026
647	0.9913788963	4394.965181
648	0.9913806592	4394.515791
649	0.9913816037	4394.275012
650	0.9913818595	4394.209802
651	0.9913856416	4393.245483
652	0.9913864329	4393.043705
653	0.9913869508	4392.91163
654	0.9913873732	4392.803926
655	0.9913885268	4392.509722
656	0.9913903158	4392.053419
657	0.9913943673	4391.01991
658	0.9913947836	4390.9137
659	0.9913977173	4390.165165
660	0.9913996912	4389.661443
661	0.9914039273	4388.580233
662	0.9914084994	4387.412978
663	0.9914097918	4387.082981
664	0.9914132725	4386.19408
665	0.991415763	4385.557932
666	0.9914192625	4384.663923
667	0.9914205988	4384.322506
668	0.9914219976	4383.965063
669	0.9914229932	4383.71065
670	0.9914257855	4382.997015
671	0.9914274573	4382.569696
672	0.9914288715	4382.208202
673	0.9914333945	4381.051787
674	0.9914348732	4380.673665
675	0.9914365367	4380.248252
676	0.9914381753	4379.829151
677	0.9914389747	4379.624688
678	0.991439496	4379.491336
679	0.9914440025	4378.338433
680	0.9914458028	4377.877789
681	0.9914505285	4376.668359
682	0.9914515014	4376.419313
683	0.9914524561	4376.174931
684	0.9914580003	4374.75543
685	0.9914595741	4374.352401
686	0.9914629955	4373.476108
687	0.9914673882	4372.350792
688	0.9914707145	4371.498454
689	0.9914740108	4370.653651
690	0.9914758517	4370.181778
691	0.9914765527	4370.002083
692	0.9914769238	4369.906945
693	0.9914798532	4369.155916
694	0.9914799828	4369.122694
695	0.9914819099	4368.62853
696	0.9914822729	4368.535454
697	0.9914844861	4367.967868
698	0.9914851	4367.810421
699	0.9914873253	4367.239625
700	0.9914880327	4367.058171
701	0.9914894554	4366.693197
702	0.9914918999	4366.066033
703	0.991494173	4365.48275
704	0.9914968837	4364.787084
705	0.9914981237	4364.468815
706	0.9914994818	4364.120204
707	0.9915014652	4363.611041
708	0.9915037098	4363.034765
709	0.9915072923	4362.114803
710	0.9915087331	4361.744789
711	0.9915097564	4361.481939
712	0.9915119659	4360.914397
713	0.9915138025	4360.44257
714	0.9915144809	4360.26828
715	0.9915148145	4360.182574
716	0.9915151468	4360.097184
717	0.9915164783	4359.75507
718	0.9915176949	4359.442438
719	0.9915185671	4359.218308
720	0.9915231909	4358.029892
721	0.9915240739	4357.802919
722	0.9915270073	4357.048747
723	0.9915285318	4356.656775
724	0.9915324053	4355.660631
725	0.9915336213	4355.347881
726	0.9915365426	4354.596421
727	0.9915390217	4353.958598
728	0.9915420898	4353.169114
729	0.9915426597	4353.022447
730	0.9915468274	4351.949758
731	0.9915471578	4351.864703
732	0.9915483335	4351.562033
